"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB2_Plant_AREA_MM","RGB2_Plant_PERIMETER_MM","RGB2_Plant_COMPACTNESS","RGB2_Plant_SOL"
"9/4/2023",24,"L5_C_6","L5","Control","RGB2",5354.698963,1754.303453,0.096721518,136.2758335
"9/4/2023",24,"L3_D_3","L3","Drought","RGB2",3839.184477,1626.095092,0.098529827,128.3478115
"9/4/2023",24,"L2_D_5","L2","Drought","RGB2",3168.076672,1354.192153,0.115464985,116.6922626
"9/4/2023",24,"L4_C_5","L4","Control","RGB2",4087.814111,1741.963819,0.077048417,135.1075224
"9/4/2023",24,"L8_C_3","L8","Control","RGB2",4458.876165,1631.419233,0.084074882,104.1501699
"9/4/2023",24,"L9_D_10","L9","Drought","RGB2",3675.186595,1692.467089,0.15269499,165.9950888
"9/4/2023",24,"L4_C_1","L4","Control","RGB2",4917.346008,1864.271327,0.098787443,126.7546787
"9/4/2023",24,"L2_D_1","L2","Drought","RGB2",4221.131035,1768.630126,0.0901198,132.5764531
"9/4/2023",24,"L8_C_9","L8","Control","RGB2",4396.457793,1899.661012,0.083732702,150.7968019
"9/4/2023",24,"L6_C_16","L6","Control","RGB2",4207.93328,1712.158218,0.125079768,125.0916063
"9/4/2023",24,"L4_C_8","L4","Control","RGB2",2964.754924,1118.409032,0.130279349,105.3384664
"9/4/2023",24,"L3_D_1","L3","Drought","RGB2",5347.396707,2003.693867,0.087381656,160.2058252
"9/4/2023",24,"L6_C_15","L6","Control","RGB2",1602.910217,766.9251241,0.125246441,63.36220535
"9/4/2023",24,"L1_C_11","L1","Control","RGB2",2461.719152,1179.318674,0.13243343,99.30717437
"9/4/2023",24,"L7_C_19","L7","Control","RGB2",2933.47024,1408.033873,0.0902414,110.6500692
"9/4/2023",24,"L6_C_2","L6","Control","RGB2",2725.657407,911.8092623,0.168972348,96.45997116
"9/4/2023",24,"L7_D_9","L7","Drought","RGB2",3030.449614,1356.184936,0.092410176,112.6747832
"9/4/2023",24,"L9_D_12","L9","Drought","RGB2",3220.101558,1224.997782,0.102432578,99.65894572
"9/4/2023",24,"L8_C_11","L8","Control","RGB2",3904.23134,1421.869247,0.0775878,124.0516952
"9/4/2023",24,"L2_C_3","L2","Control","RGB2",3499.725345,1244.584054,0.226988265,85.69828273
"9/4/2023",24,"L5_D_3","L5","Drought","RGB2",3221.296007,1522.584771,0.08901668,134.9744562
"9/4/2023",24,"L6_D_17","L6","Drought","RGB2",3108.53499,1235.864979,0.067242476,115.8724761
"9/4/2023",24,"L7_D_10","L7","Drought","RGB2",1723.559024,867.6716298,0.158254706,88.18599344
"9/4/2023",24,"L3_C_2","L3","Control","RGB2",3282.332904,1421.122206,0.066142756,106.7822446
"9/4/2023",24,"L3_C_4","L3","Control","RGB2",3871.960445,1586.45895,0.08363312,134.0127137
"9/4/2023",24,"L8_C_5","L8","Control","RGB2",5027.69606,2034.239244,0.072787742,155.4852317
"9/4/2023",24,"L8_C_6","L8","Control","RGB2",991.897376,562.4057991,0.245188993,60.33094721
"9/4/2023",24,"L8_C_10","L8","Control","RGB2",3279.187859,1503.123244,0.055919319,151.0115925
"9/4/2023",24,"L1_D_18","L1","Drought","RGB2",3718.947175,1635.197811,0.079203106,134.5578189
"9/4/2023",24,"L7_C_12","L7","Control","RGB2",3339.1483,1495.306796,0.201447604,138.5408983
"9/4/2023",24,"L6_D_3","L6","Drought","RGB2",3042.352307,1448.098809,0.065431692,137.6466358
"9/4/2023",24,"L7_D_18","L7","Drought","RGB2",3034.011101,1210.722681,0.100435001,104.6771228
"9/4/2023",24,"L8_C_1","L8","Control","RGB2",2687.23572,1203.424173,0.070487299,98.03297374
"9/4/2023",24,"L1_C_7","L1","Control","RGB2",2893.105855,1325.460691,0.106807128,115.919593
"9/4/2023",24,"L9_D_7","L9","Drought","RGB2",3350.871003,1540.476945,0.114919837,120.022741
"9/4/2023",24,"L6_C_10","L6","Control","RGB2",3652.712252,1445.607218,0.0834258,115.7297657
"9/4/2023",24,"L3_D_8","L3","Drought","RGB2",3524.77484,1339.077172,0.13247099,112.6436746
"9/4/2023",24,"L6_D_18","L6","Drought","RGB2",4940.591991,1758.745415,0.093150664,136.7725499
"9/4/2023",24,"L3_C_3","L3","Control","RGB2",4602.978263,1826.640322,0.07247728,125.2097023
"9/4/2023",24,"L9_C_5","L9","Control","RGB2",2707.883624,1364.332513,0.062310619,143.5437055
"9/4/2023",24,"L4_C_4","L4","Control","RGB2",3107.492113,1272.949589,0.097319455,102.824231
"9/4/2023",24,"L3_C_6","L3","Control","RGB2",5640.362364,1873.255951,0.125134319,153.0151961
"9/4/2023",24,"L1_D_9","L1","Drought","RGB2",5864.141251,1807.097682,0.083139951,95.99722514
"9/4/2023",24,"L8_C_14","L8","Control","RGB2",4763.595694,1818.97703,0.104594053,140.9888241
"9/4/2023",24,"L1_D_8","L1","Drought","RGB2",3123.986733,1279.942332,0.075393119,97.69920336
"9/4/2023",24,"L7_C_3","L7","Control","RGB2",3979.638352,1497.164162,0.143102576,142.482792
"9/4/2023",24,"L7_D_12","L7","Drought","RGB2",2743.499403,1218.473095,0.076847646,129.691875
"9/4/2023",24,"L1_D_1","L1","Drought","RGB2",4924.724319,1762.335599,0.080582184,123.9660235
"9/4/2023",24,"L7_C_5","L7","Control","RGB2",4027.02483,1520.104121,0.092555636,117.2211885
"9/4/2023",24,"L5_D_1","L5","Drought","RGB2",5231.088245,2286.693031,0.03831595,196.4608706
"9/4/2023",24,"L5_D_7","L5","Drought","RGB2",3976.207489,1715.050614,0.083828641,135.4956541
"9/4/2023",24,"L6_D_4","L6","Drought","RGB2",2354.916268,999.3541542,0.177984131,105.9822861
"9/4/2023",24,"L8_D_4","L8","Drought","RGB2",3356.449871,1513.701222,0.099817499,116.0852599
"9/4/2023",24,"L7_D_7","L7","Drought","RGB2",4469.617777,1826.721857,0.103803013,145.9964514
"9/4/2023",24,"L8_D_5","L8","Drought","RGB2",4440.610987,1735.732239,0.15175502,132.4722785
"9/4/2023",24,"L6_D_5","L6","Drought","RGB2",3247.175734,1397.310099,0.08596797,116.180815
"9/4/2023",24,"L1_D_17","L1","Drought","RGB2",8979.650037,2310.124949,0.12345816,119.3866208
"9/4/2023",24,"L2_C_5","L2","Control","RGB2",3454.900148,1511.850974,0.085974159,120.7951001
"9/4/2023",24,"L7_C_10","L7","Control","RGB2",2955.111498,1011.628045,0.157666268,105.3667577
"9/4/2023",24,"L8_D_10","L8","Drought","RGB2",3108.486943,1292.020617,0.083367444,111.4958586
"9/4/2023",24,"L9_C_2","L9","Control","RGB2",3128.77267,1440.379183,0.072471985,115.8333989
"9/4/2023",24,"L8_D_18","L8","Drought","RGB2",3698.294352,1454.437322,0.077911366,100.1506839
"9/4/2023",24,"L5_D_2","L5","Drought","RGB2",5646.996415,1906.143362,0.080118343,127.4290142
"9/4/2023",24,"L5_C_7","L5","Control","RGB2",1955.711024,1051.756466,0.066136771,98.04587405
"9/4/2023",24,"L7_C_11","L7","Control","RGB2",2765.149238,1504.51501,0.069911181,155.5075594
"9/4/2023",24,"L2_C_6","L2","Control","RGB2",4431.538191,1766.614804,0.086167877,138.6931808
"9/4/2023",24,"L8_D_12","L8","Drought","RGB2",4334.41878,1734.842325,0.081242343,128.472585
"9/4/2023",24,"L4_C_3","L4","Control","RGB2",4271.472327,1819.288377,0.198986412,145.1289604
"9/4/2023",24,"L7_D_14","L7","Drought","RGB2",2302.804569,1066.76379,0.138676155,98.57086224
"9/4/2023",24,"L1_D_3","L1","Drought","RGB2",4637.646988,1747.961816,0.066070574,128.3746566
"9/4/2023",24,"L1_D_15","L1","Drought","RGB2",3092.809766,1257.574224,0.077769717,147.0941728
"9/4/2023",24,"L9_D_8","L9","Drought","RGB2",3206.988569,1485.355973,0.074459641,119.3420458
"9/4/2023",24,"L9_D_11","L9","Drought","RGB2",3882.622557,1555.589109,0.079441156,130.3780209
"9/4/2023",24,"L5_C_4","L5","Control","RGB2",7719.444236,2717.525741,0.073509478,193.7230794
"9/4/2023",24,"L9_D_18","L9","Drought","RGB2",2958.666766,1391.89629,0.057076909,141.5399547
"9/4/2023",24,"L7_D_19","L7","Drought","RGB2",2086.25867,917.8550052,0.136341296,78.01540277
"9/4/2023",24,"L4_D_9","L4","Drought","RGB2",3511.100732,1405.42189,0.089140155,102.4607236
"9/4/2023",24,"L4_C_7","L4","Control","RGB2",3709.154037,1270.45644,0.115946043,76.15517374
"9/4/2023",24,"L8_D_2","L8","Drought","RGB2",3572.550629,1542.859889,0.080361534,119.9833613
"9/4/2023",24,"L1_D_16","L1","Drought","RGB2",3031.245913,1442.007663,0.073091041,128.3250438
