"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","VNIR_Plant_PRI","VNIR_Plant_NDVI","VNIR_Plant_PSRI","VNIR_Plant_SIPI","VNIR_Plant_MCARI1"
"9/10/2023",30,"L8_D_12","L8","Drought","VNIR",0.07536992,0.67275316,-0.08768727,0.5826526,1.4231721
"9/10/2023",30,"L7_D_8","L7","Drought","VNIR",0.08086598,0.6349526,-0.09980523,0.5370112,1.3622459
"9/10/2023",30,"L3_D_1","L3","Drought","VNIR",0.0723836,0.65969014,-0.08848088,0.5676205,1.4173146
"9/10/2023",30,"L6_C_3","L6","Control","VNIR",0.090789855,0.7053228,-0.10346047,0.5918958,1.4734732
"9/10/2023",30,"L5_C_2","L5","Control","VNIR",0.09019242,0.7477643,-0.08962291,0.64171237,1.5084256
"9/10/2023",30,"L7_C_2","L7","Control","VNIR",0.089908764,0.6678592,-0.10761972,0.5601566,1.4177136
"9/10/2023",30,"L6_C_5","L6","Control","VNIR",0.082762346,0.6213191,-0.10823223,0.5141061,1.35625
"9/10/2023",30,"L7_D_1","L7","Drought","VNIR",0.08541242,0.6777366,-0.097162694,0.57433194,1.4150826
"9/10/2023",30,"L4_D_1","L4","Drought","VNIR",0.08548901,0.6693693,-0.0954108,0.57458794,1.4074903
"9/10/2023",30,"L9_C_19","L9","Control","VNIR",0.08591223,0.66299456,-0.10311482,0.56137705,1.4160242
"9/10/2023",30,"L2_C_1","L2","Control","VNIR",0.07844567,0.66543937,-0.08931387,0.57382613,1.4278713
"9/10/2023",30,"L8_D_8","L8","Drought","VNIR",0.0817311,0.6977786,-0.09191054,0.6009361,1.4801651
"9/10/2023",30,"L1_D_18","L1","Drought","VNIR",0.084899336,0.6694281,-0.1009033,0.56483006,1.423089
"9/10/2023",30,"L4_C_9","L4","Control","VNIR",0.082737446,0.69302756,-0.09328029,0.59480315,1.4527242
"9/10/2023",30,"L9_C_15","L9","Control","VNIR",0.08955228,0.67089546,-0.11404469,0.55706453,1.4416729
"9/10/2023",30,"L1_D_2","L1","Drought","VNIR",0.0856486,0.71623147,-0.084023535,0.6247845,1.4555417
"9/10/2023",30,"L1_D_13","L1","Drought","VNIR",0.09245789,0.67325515,-0.11055584,0.56063277,1.4391141
"9/10/2023",30,"L4_D_3","L4","Drought","VNIR",0.0904289,0.71539056,-0.10214969,0.6058231,1.4795547
"9/10/2023",30,"L3_C_9","L3","Control","VNIR",0.07619886,0.67244506,-0.09233856,0.57452583,1.4505163
"9/10/2023",30,"L5_C_6","L5","Control","VNIR",0.08842397,0.7103711,-0.094142705,0.61027193,1.4599297
"9/10/2023",30,"L6_D_8","L6","Drought","VNIR",0.089834705,0.6780106,-0.10522973,0.5709796,1.4128857
"9/10/2023",30,"L8_D_10","L8","Drought","VNIR",0.08255716,0.6700873,-0.09201636,0.5736566,1.4260914
"9/10/2023",30,"L1_C_18","L1","Control","VNIR",0.09292475,0.68541485,-0.11064918,0.5705027,1.4527594
"9/10/2023",30,"L9_C_18","L9","Control","VNIR",0.08491008,0.690286,-0.08956662,0.5964317,1.4286474
"9/10/2023",30,"L7_C_14","L7","Control","VNIR",0.09706058,0.6978984,-0.11280231,0.5773316,1.4540952
"9/10/2023",30,"L7_D_15","L7","Drought","VNIR",0.07969981,0.57297313,-0.11086027,0.47213623,1.2926698
