"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","IR1_Plant_Temp","Probes_T4.unit","IR1.Probes_Plant_deltaT"
"9/9/2023",29,"L3_C_2","L3","Control","IR1",26.73007011,26,0.730070114
"9/9/2023",29,"L3_C_3","L3","Control","IR1",26.44065094,26.10000038,0.340650558
"9/9/2023",29,"L3_C_4","L3","Control","IR1",26.05847549,25.39999962,0.658475876
"9/9/2023",29,"L3_C_5","L3","Control","IR1",26.96404457,25.70000076,1.264043808
"9/9/2023",29,"L3_C_6","L3","Control","IR1",26.08531761,25.29999924,0.785318375
"9/9/2023",29,"L3_C_7","L3","Control","IR1",25.99008369,24.70000076,1.290082932
"9/9/2023",29,"L3_C_8","L3","Control","IR1",26.71837425,25.5,1.218374252
"9/9/2023",29,"L3_C_9","L3","Control","IR1",25.86565018,24.39999962,1.465650558
"9/9/2023",29,"L3_D_1","L3","Drought","IR1",25.99409103,24.20000076,1.794090271
"9/9/2023",29,"L3_D_2","L3","Drought","IR1",25.83768463,24.20000076,1.637683868
"9/9/2023",29,"L3_D_3","L3","Drought","IR1",26.00896645,24.79999924,1.208967209
"9/9/2023",29,"L3_D_4","L3","Drought","IR1",25.97709084,24.70000076,1.277090073
"9/9/2023",29,"L3_D_5","L3","Drought","IR1",27.38174438,25.70000076,1.681743622
"9/9/2023",29,"L3_D_6","L3","Drought","IR1",27.32689285,26.10000038,1.226892471
"9/9/2023",29,"L3_D_7","L3","Drought","IR1",27.00259399,26.20000076,0.802593231
"9/9/2023",29,"L3_D_8","L3","Drought","IR1",27.79186058,25.89999962,1.891860962
"9/9/2023",29,"L3_D_9","L3","Drought","IR1",27.07320786,26.20000076,0.873207092
"9/9/2023",29,"L1_C_1","L1","Control","IR1",26.47324944,25.5,0.973249435
"9/9/2023",29,"L1_C_10","L1","Control","IR1",27.01880836,26.20000076,0.818807602
"9/9/2023",29,"L1_C_11","L1","Control","IR1",26.25963593,25.20000076,1.059635162
"9/9/2023",29,"L1_C_12","L1","Control","IR1",25.91832352,26.29999924,-0.38167572
"9/9/2023",29,"L1_C_13","L1","Control","IR1",24.79785919,24.20000076,0.597858429
"9/9/2023",29,"L1_C_14","L1","Control","IR1",25.66060448,25.5,0.160604477
"9/9/2023",29,"L1_C_15","L1","Control","IR1",27.02313042,26.20000076,0.823129654
"9/9/2023",29,"L1_C_16","L1","Control","IR1",26.90235901,26.20000076,0.702358246
"9/9/2023",29,"L1_C_17","L1","Control","IR1",27.03758049,26.20000076,0.837579727
"9/9/2023",29,"L1_C_18","L1","Control","IR1",26.23324776,26,0.233247757
"9/9/2023",29,"L1_C_19","L1","Control","IR1",26.86703873,26.20000076,0.667037964
"9/9/2023",29,"L1_C_2","L1","Control","IR1",26.37655067,25.70000076,0.676549911
"9/9/2023",29,"L1_C_20","L1","Control","IR1",26.91139603,26.20000076,0.711395264
"9/9/2023",29,"L1_C_3","L1","Control","IR1",24.64506721,24,0.645067215
