"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB1_Plant_RGB.138.139.97","RGB1_Plant_RGB.68.85.63"
"9/8/2023",28,"L8_C_11","L8","Control","RGB1",1.060707475,98.93929252
"9/8/2023",28,"L8_C_12","L8","Control","RGB1",3.210964513,96.78903549
"9/8/2023",28,"L8_C_13","L8","Control","RGB1",1.459165999,98.540834
"9/8/2023",28,"L8_C_14","L8","Control","RGB1",1.938985724,98.06101428
"9/8/2023",28,"L8_C_15","L8","Control","RGB1",3.666498044,96.33350196
"9/8/2023",28,"L8_C_16","L8","Control","RGB1",1.966735489,98.03326451
"9/8/2023",28,"L8_C_17","L8","Control","RGB1",1.824310317,98.17568968
"9/8/2023",28,"L8_C_18","L8","Control","RGB1",3.776739785,96.22326021
"9/8/2023",28,"L8_C_19","L8","Control","RGB1",0.753531779,99.24646822
"9/8/2023",28,"L8_C_2","L8","Control","RGB1",2.316770643,97.68322936
"9/8/2023",28,"L8_C_20","L8","Control","RGB1",2.974603693,97.02539631
"9/8/2023",28,"L8_C_3","L8","Control","RGB1",2.778394899,97.2216051
"9/8/2023",28,"L8_C_4","L8","Control","RGB1",2.925493054,97.07450695
"9/8/2023",28,"L8_C_5","L8","Control","RGB1",1.245235433,98.75476457
"9/8/2023",28,"L8_C_6","L8","Control","RGB1",0.814028452,99.18597155
"9/8/2023",28,"L8_C_7","L8","Control","RGB1",0.795025846,99.20497415
"9/8/2023",28,"L8_C_8","L8","Control","RGB1",3.702862785,96.29713722
"9/8/2023",28,"L8_C_9","L8","Control","RGB1",3.063019517,96.93698048
"9/8/2023",28,"L8_D_1","L8","Drought","RGB1",1.567959461,98.43204054
"9/8/2023",28,"L8_D_10","L8","Drought","RGB1",0.897846097,99.1021539
"9/8/2023",28,"L8_D_11","L8","Drought","RGB1",2.345245227,97.65475477
"9/8/2023",28,"L8_D_12","L8","Drought","RGB1",1.629864424,98.37013558
"9/8/2023",28,"L8_D_13","L8","Drought","RGB1",3.863413677,96.13658632
"9/8/2023",28,"L8_D_14","L8","Drought","RGB1",3.70777696,96.29222304
"9/8/2023",28,"L8_D_15","L8","Drought","RGB1",1.841046118,98.15895388
"9/8/2023",28,"L8_D_16","L8","Drought","RGB1",0.837690593,99.16230941
"9/8/2023",28,"L8_D_17","L8","Drought","RGB1",1.126411626,98.87358837
"9/8/2023",28,"L8_D_18","L8","Drought","RGB1",1.856989471,98.14301053
"9/8/2023",28,"L8_D_19","L8","Drought","RGB1",5.805184923,94.19481508
"9/8/2023",28,"L8_D_2","L8","Drought","RGB1",4.164954642,95.83504536
"9/8/2023",28,"L8_D_20","L8","Drought","RGB1",3.86315953,96.13684047
"9/8/2023",28,"L8_D_3","L8","Drought","RGB1",2.149664464,97.85033554
"9/8/2023",28,"L8_D_4","L8","Drought","RGB1",1.051968689,98.94803131
"9/8/2023",28,"L8_D_5","L8","Drought","RGB1",2.024893466,97.97510653
"9/8/2023",28,"L8_D_6","L8","Drought","RGB1",3.241888258,96.75811174
"9/8/2023",28,"L8_D_7","L8","Drought","RGB1",2.064201352,97.93579865
"9/8/2023",28,"L8_D_8","L8","Drought","RGB1",1.063202551,98.93679745
"9/8/2023",28,"L8_D_9","L8","Drought","RGB1",2.555948173,97.44405183
"9/8/2023",28,"L6_C_1","L6","Control","RGB1",0.92556509,99.07443491
"9/8/2023",28,"L6_C_2","L6","Control","RGB1",0.384698094,99.61530191
"9/8/2023",28,"L6_C_3","L6","Control","RGB1",0.083518342,99.91648166
"9/8/2023",28,"L6_C_4","L6","Control","RGB1",1.935803998,98.064196
"9/8/2023",28,"L6_C_5","L6","Control","RGB1",0.704425578,99.29557442
"9/8/2023",28,"L6_C_6","L6","Control","RGB1",0.655909407,99.34409059
"9/8/2023",28,"L6_C_7","L6","Control","RGB1",0.667966601,99.3320334
"9/8/2023",28,"L6_C_8","L6","Control","RGB1",1.54086136,98.45913864
"9/8/2023",28,"L6_C_9","L6","Control","RGB1",0.677204967,99.32279503
"9/8/2023",28,"L6_D_1","L6","Drought","RGB1",0.501793657,99.49820634
"9/8/2023",28,"L6_D_2","L6","Drought","RGB1",1.302982716,98.69701728
"9/8/2023",28,"L6_D_3","L6","Drought","RGB1",2.250549708,97.74945029
"9/8/2023",28,"L6_D_4","L6","Drought","RGB1",0.534909711,99.46509029
"9/8/2023",28,"L6_D_5","L6","Drought","RGB1",0.101865361,99.89813464
"9/8/2023",28,"L6_D_6","L6","Drought","RGB1",0.847565359,99.15243464
"9/8/2023",28,"L6_D_7","L6","Drought","RGB1",0.822458135,99.17754187
"9/8/2023",28,"L6_D_8","L6","Drought","RGB1",1.35900745,98.64099255
"9/8/2023",28,"L6_D_9","L6","Drought","RGB1",0.223985418,99.77601458
"9/8/2023",28,"L6_C_10","L6","Control","RGB1",1.601141922,98.39885808
"9/8/2023",28,"L6_C_11","L6","Control","RGB1",1.169893414,98.83010659
"9/8/2023",28,"L6_C_12","L6","Control","RGB1",0.482641063,99.51735894
"9/8/2023",28,"L6_C_13","L6","Control","RGB1",1.17069195,98.82930805
"9/8/2023",28,"L6_C_14","L6","Control","RGB1",1.43175694,98.56824306
"9/8/2023",28,"L6_C_15","L6","Control","RGB1",0.822626331,99.17737367
"9/8/2023",28,"L6_C_16","L6","Control","RGB1",0.224575227,99.77542477
"9/8/2023",28,"L6_C_17","L6","Control","RGB1",1.288303045,98.71169696
"9/8/2023",28,"L6_C_18","L6","Control","RGB1",0.856185817,99.14381418
"9/8/2023",28,"L6_D_10","L6","Drought","RGB1",0.803937544,99.19606246
"9/8/2023",28,"L6_D_11","L6","Drought","RGB1",0.554596254,99.44540375
"9/8/2023",28,"L6_D_12","L6","Drought","RGB1",1.742324239,98.25767576
"9/8/2023",28,"L6_D_13","L6","Drought","RGB1",1.674300121,98.32569988
"9/8/2023",28,"L6_D_14","L6","Drought","RGB1",0.642944457,99.35705554
